Section	Paragraph	Original sentence	Original citation(s)	Problem	Revised sentence	Final citation	Claim supported	Verified?	Action
Introduction	P1	Recent transcriptomic studies have begun to define molecular states within clinically similar disease [2-4].	[2-4]	Cluster joined distinct transcriptomic studies.	Recent cross-tissue transcriptomic work has identified molecular programs associated with psoriasis phenotype and severity [1].	[1]	PSORT cross-tissue molecular programs and phenotype/severity association.	existing reference	split and reassigned
Introduction	P1	single-cell/spatial studies have mapped cellular ecosystems in psoriatic tissue [5,6].	[5,6]	Two papers supported related but separable cellular/spatial claims.	Single-cell and spatial analyses have resolved coordinated keratinocyte, fibroblast and immune-cell states in psoriatic tissue [2].	[2]	Psoriatic tissue cellular ecosystems and keratinocyte/fibroblast amplification.	existing reference	narrowed to best match
Introduction	P1	Large-scale genetic studies have mapped psoriasis susceptibility and genetic sharing with inflammatory and cardiometabolic traits [1,7-10].	[1,7-10]	Cluster mixed disease overview, GWAS, PsA, CAD and Crohn claims.	Large-scale GWAS has substantially expanded the inherited susceptibility map of psoriasis [3].	[3]	Psoriasis GWAS susceptibility map.	existing reference	split; remaining genetics moved to P3
Introduction	P2	Other transcriptomic studies have linked molecular profiles to disease severity and therapeutic response [4], while a recent Taiwanese study described a dual T helper 17/type 2 transcriptomic endotype with prominent IL-36 activation [3].	[4], [3]	Acceptable but rewritten for clearer claim boundaries.	Shrotri et al. linked transcriptomic profiles to psoriasis severity and therapeutic response [4]. Chen et al. described a dual T helper 17/type 2 transcriptomic pattern with prominent IL-36 activation in a Taiwanese psoriasis cohort [5].	[4]; [5]	Severity/response and cohort-specific Th17/type 2 pattern.	existing reference	split into study-specific claims
Introduction	P3	Genetic studies have also separated aspects of psoriatic arthritis and cutaneous psoriasis architecture, identified shared psoriasis-Crohn disease loci, and reported shared genetic risk between psoriasis and coronary artery disease [8-10].	[8-10]	Three different genetic claims shared one cluster.	Psoriatic arthritis and cutaneous psoriasis show overlapping but distinguishable genetic architectures [7]. Psoriasis also shares inherited susceptibility with coronary artery disease [8]. Earlier GWAS work identified shared susceptibility loci between psoriasis and Crohn disease [9].	[7]; [8]; [9]	PsA genetics, CAD shared architecture and Crohn shared loci.	existing reference	split
Discussion	P2	Recent studies have reported psoriasis expression signatures associated with endotypes, disease severity, response and mixed inflammatory patterns [2-4].	[2-4]	Review-like cluster with multiple study-specific claims.	Rider et al. demonstrated cross-tissue molecular variation associated with psoriasis phenotype and severity [1]. Shrotri et al. linked transcriptional profiles to disease severity and therapeutic response [4]. More recently, Chen et al. described a dual T helper 17/type 2 inflammatory transcriptomic phenotype in a Taiwanese cohort [5].	[1]; [4]; [5]	Endotype/severity, severity/response and cohort-specific inflammatory phenotype.	existing reference	split
Discussion	P4	This finding is directionally consistent with previous evidence that psoriasis shares genetic risk with coronary artery disease and cardiovascular traits [8,18].	[8,18]	Two references supported old and newer cardiovascular genetics at different scales.	Earlier cross-disease genetic analyses identified shared inherited architecture between psoriasis and coronary artery disease [8]. More recent work extended evidence of shared genetic architecture across multiple cardiovascular phenotypes [13].	[8]; [13]	CAD shared architecture and broader cardiovascular genetic comorbidity.	existing reference	split
Discussion	P4	shared loci may act through disease-, cell-state- or stimulation-dependent regulatory effects absent from baseline GTEx tissues [15,20].	[15,20]	GTEx and disease-context eQTL support different concepts.	GTEx provides a broad cross-tissue reference for cis-regulatory effects but primarily represents bulk reference tissue contexts [14]. Disease-context single-cell eQTL mapping has shown that regulatory effects relevant to immune-mediated disease can be restricted to specific cell types or inflammatory states [15].	[14]; [15]	GTEx reference scope and context-restricted eQTL.	existing reference	split
Discussion	P5	A 2026 harmonized population study reported positive genetic correlations of psoriasis with Crohn disease and ulcerative colitis [19], and older shared-locus work also supports genetic overlap between psoriasis and Crohn disease [10].	[19], [10]	Compound sentence joined genome-wide and locus-level evidence.	A harmonized 2026 analysis reported positive genetic correlations between psoriasis and the major IBD subtypes [10]. At the locus level, earlier GWAS work had already identified shared susceptibility regions between psoriasis and Crohn disease [9].	[10]; [9]	Genome-wide IBD sharing and Crohn locus sharing.	existing reference	split
Discussion	P1	No corresponding sentence.	none	Optional 2026 spatial literature considered.	Recent organ-wide single-cell spatial mapping of human skin further shows that epithelial, stromal and immune cells are organized into multicellular neighborhoods that vary across anatomic sites and can be disrupted in disease [12].	[12]	Normal human skin spatial neighborhoods and disease-associated disruption.	publisher/PubMed verified	added once
